Date,vix,eur_usd
2025-07-01,16.829999923706055,1.178717017173767
2025-07-02,16.639999389648438,1.180553913116455
2025-07-03,16.3799991607666,1.18002450466156
2025-07-07,17.790000915527344,1.178078293800354
2025-07-08,16.809999465942383,1.1736538410186768
2025-07-09,15.9399995803833,1.1724566221237183
2025-07-10,15.779999732971191,1.17311692237854
2025-07-11,16.399999618530273,1.1702749729156494
2025-07-14,17.200000762939453,1.1682106256484985
2025-07-15,17.3799991607666,1.1666297912597656
2025-07-16,17.15999984741211,1.1607391834259033
2025-07-17,16.520000457763672,1.1635754108428955
2025-07-18,16.40999984741211,1.161548137664795
2025-07-21,16.649999618530273,1.1630746126174927
2025-07-22,16.5,1.1694538593292236
2025-07-23,15.369999885559082,1.1739156246185303
2025-07-24,15.390000343322754,1.1774264574050903
2025-07-25,14.930000305175781,1.1756131649017334
2025-07-28,15.029999732971191,1.1756821870803833
2025-07-29,15.979999542236328,1.1596757173538208
2025-07-30,15.479999542236328,1.1550945043563843
2025-07-31,16.719999313354492,1.1429355144500732
2025-08-01,20.3799991607666,1.142374038696289
2025-08-04,17.520000457763672,1.158668041229248
2025-08-05,17.850000381469727,1.1584129333496094
2025-08-06,16.770000457763672,1.1579166650772095
2025-08-07,16.56999969482422,1.1663167476654053
2025-08-08,15.149999618530273,1.1676650047302246
2025-08-11,16.25,1.1647952795028687
2025-08-12,14.729999542236328,1.1618449687957764
2025-08-13,14.489999771118164,1.1677058935165405
2025-08-14,14.829999923706055,1.171289324760437
2025-08-15,15.09000015258789,1.1651345491409302
2025-08-18,14.989999771118164,1.1706587076187134
2025-08-19,15.569999694824219,1.1668338775634766
2025-08-20,15.6899995803833,1.164252758026123
2025-08-21,16.600000381469727,1.165175199508667
2025-08-22,14.220000267028809,1.16130530834198
2025-08-25,14.789999961853027,1.1709601879119873
2025-08-26,14.619999885559082,1.1618449687957764
2025-08-27,14.850000381469727,1.1639411449432373
2025-08-28,14.430000305175781,1.1647952795028687
2025-08-29,15.359999656677246,1.1681560277938843
2025-09-02,17.170000076293945,1.1715912818908691
2025-09-03,16.350000381469727,1.163602590560913
2025-09-04,15.300000190734863,1.16604483127594
2025-09-05,15.180000305175781,1.1656913757324219
2025-09-08,15.109999656677246,1.1713168621063232
2025-09-09,15.039999961853027,1.1769136190414429
